,X,Participant,gender,lamount,ldealy,samount,sdelay,choices1,choice2,RT_first,pick_larger_position,block_order,RT_second,adjusting.order,condition,group,switch,mark1
3596,15796,1005,0,30,7,18,0,1,0,3.015458822,NA,3,NA,0,dgs,1,1,0
3597,15797,1005,0,30,7,21,0,0,1,5.952393055,NA,3,NA,0,dgs,1,1,0
3598,15798,1005,0,30,7,24,0,0,1,2.654229164,NA,3,NA,0,dgs,1,0,0
3599,15799,1005,0,30,7,27,0,0,1,2.308714151,NA,3,NA,0,dgs,1,0,0
3600,15800,1005,0,30,7,30,0,0,1,2.999752998,NA,3,NA,0,dgs,1,0,0
3571,15771,1005,0,30,15,3,0,1,0,6.20367384,NA,3,NA,0,dgs,1,0,0
3572,15772,1005,0,30,15,6,0,1,0,3.533742189,NA,3,NA,0,dgs,1,0,0
3573,15773,1005,0,30,15,9,0,1,0,9.925887823,NA,3,NA,0,dgs,1,1,0
3574,15774,1005,0,30,15,12,0,0,1,5.135704994,NA,3,NA,0,dgs,1,1,0
3575,15775,1005,0,30,15,15,0,0,1,5.43411088,NA,3,NA,0,dgs,1,0,0
3576,15776,1005,0,30,15,18,0,0,1,1.743309975,NA,3,NA,0,dgs,1,0,0
3577,15777,1005,0,30,15,21,0,0,1,5.308465004,NA,3,NA,0,dgs,1,0,0
3578,15778,1005,0,30,15,24,0,0,1,3.706501007,NA,3,NA,0,dgs,1,1,0
3579,15779,1005,0,30,15,27,0,1,0,8.19828105,NA,3,NA,0,dgs,1,1,0
3580,15780,1005,0,30,15,30,0,0,1,4.491778851,NA,3,NA,0,dgs,1,1,0
3551,15751,1005,0,30,29,3,0,1,0,31.73440313,NA,3,NA,0,dgs,1,1,0
3552,15752,1005,0,30,29,6,0,0,1,9.78125906,NA,3,NA,0,dgs,1,1,0
3553,15753,1005,0,30,29,9,0,0,1,7.640632868,NA,3,NA,0,dgs,1,0,0
3554,15754,1005,0,30,29,12,0,0,1,6.312507868,NA,3,NA,0,dgs,1,0,0
3555,15755,1005,0,30,29,15,0,0,1,5.03125596,NA,3,NA,0,dgs,1,0,0
3556,15756,1005,0,30,29,18,0,0,1,7.296880007,NA,3,NA,0,dgs,1,1,0
3557,15757,1005,0,30,29,21,0,1,0,5.203127861,NA,3,NA,0,dgs,1,1,0
3558,15758,1005,0,30,29,24,0,0,1,3.125001907,NA,3,NA,0,dgs,1,1,0
3559,15759,1005,0,30,29,27,0,1,0,4.035439968,NA,3,NA,0,dgs,1,1,0
3560,15760,1005,0,30,29,30,0,0,1,4.083434105,NA,3,NA,0,dgs,1,1,0
3561,15761,1005,0,30,56,3,0,1,0,6.706257105,NA,3,NA,0,dgs,1,0,0
3562,15762,1005,0,30,56,6,0,1,0,2.654232025,NA,3,NA,0,dgs,1,1,0
3563,15763,1005,0,30,56,9,0,0,1,6.36073494,NA,3,NA,0,dgs,1,1,0
3564,15764,1005,0,30,56,12,0,0,1,2.214477062,NA,3,NA,0,dgs,1,0,0
3565,15765,1005,0,30,56,15,0,0,1,2.795581818,NA,3,NA,0,dgs,1,0,0
3566,15766,1005,0,30,56,18,0,0,1,2.02601409,NA,3,NA,0,dgs,1,1,0
3567,15767,1005,0,30,56,21,0,1,0,4.93153286,NA,3,NA,0,dgs,1,1,0
3568,15768,1005,0,30,56,24,0,0,1,2.654233932,NA,3,NA,0,dgs,1,1,0
3569,15769,1005,0,30,56,27,0,0,1,3.078281879,NA,3,NA,0,dgs,1,0,0
3570,15770,1005,0,30,56,30,0,0,1,2.717051029,NA,3,NA,0,dgs,1,0,0
3581,15781,1005,0,30,101,3,0,1,0,21.84637403,NA,3,NA,0,dgs,1,1,0
3582,15782,1005,0,30,101,6,0,0,1,4.680245876,NA,3,NA,0,dgs,1,1,0
3583,15783,1005,0,30,101,9,0,0,1,3.141104937,NA,3,NA,0,dgs,1,0,0
3584,15784,1005,0,30,101,12,0,0,1,8.653738022,NA,3,NA,0,dgs,1,0,0
3585,15785,1005,0,30,101,15,0,0,1,3.847851992,NA,3,NA,0,dgs,1,0,0
3586,15786,1005,0,30,101,18,0,0,1,2.245893002,NA,3,NA,0,dgs,1,0,0
3587,15787,1005,0,30,101,21,0,0,1,1.806133032,NA,3,NA,0,dgs,1,0,0
3588,15788,1005,0,30,101,24,0,0,1,5.025764942,NA,3,NA,0,dgs,1,0,0
3589,15789,1005,0,30,101,27,0,0,1,2.371534109,NA,3,NA,0,dgs,1,0,0
3590,15790,1005,0,30,101,30,0,0,1,5.52834487,NA,3,NA,0,dgs,1,0,0
2531,9181,1006,1,30,7,3,0,1,0,4.796883106,NA,4,NA,0,dgs,1,0,0
2532,9182,1006,1,30,7,6,0,1,0,4.265631914,NA,4,NA,0,dgs,1,0,0
2533,9183,1006,1,30,7,9,0,1,0,1.906250954,NA,4,NA,0,dgs,1,0,0
2534,9184,1006,1,30,7,12,0,1,0,2.765629053,NA,4,NA,0,dgs,1,0,0
2535,9185,1006,1,30,7,15,0,1,0,2.031253099,NA,4,NA,0,dgs,1,0,0
2536,9186,1006,1,30,7,18,0,1,0,2.828130007,NA,4,NA,0,dgs,1,0,0
2537,9187,1006,1,30,7,21,0,1,0,6.343757868,NA,4,NA,0,dgs,1,0,0
2538,9188,1006,1,30,7,24,0,1,0,5.203132868,NA,4,NA,0,dgs,1,0,0
2539,9189,1006,1,30,7,27,0,1,0,4.640629053,NA,4,NA,0,dgs,1,1,0
2540,9190,1006,1,30,7,30,0,0,1,2.781254053,NA,4,NA,0,dgs,1,1,0
2541,9191,1006,1,30,15,3,0,1,0,4.984376907,NA,4,NA,0,dgs,1,0,0
2542,9192,1006,1,30,15,6,0,1,0,4.10938096,NA,4,NA,0,dgs,1,0,0
2543,9193,1006,1,30,15,9,0,1,0,1.953125954,NA,4,NA,0,dgs,1,0,0
2544,9194,1006,1,30,15,12,0,1,0,2.359377146,NA,4,NA,0,dgs,1,0,0
2545,9195,1006,1,30,15,15,0,1,0,2.187503099,NA,4,NA,0,dgs,1,0,0
2546,9196,1006,1,30,15,18,0,1,0,3.125004053,NA,4,NA,0,dgs,1,0,0
2547,9197,1006,1,30,15,21,0,1,0,3.046880007,NA,4,NA,0,dgs,1,0,0
2548,9198,1006,1,30,15,24,0,1,0,2.812503099,NA,4,NA,0,dgs,1,0,0
2549,9199,1006,1,30,15,27,0,1,0,6.25000906,NA,4,NA,0,dgs,1,1,0
2550,9200,1006,1,30,15,30,0,0,1,2.687504053,NA,4,NA,0,dgs,1,1,0
2521,9171,1006,1,30,29,3,0,1,0,4.031255007,NA,4,NA,0,dgs,1,0,0
2522,9172,1006,1,30,29,6,0,1,0,3.578130007,NA,4,NA,0,dgs,1,0,0
2523,9173,1006,1,30,29,9,0,1,0,2.296877861,NA,4,NA,0,dgs,1,0,0
2524,9174,1006,1,30,29,12,0,1,0,2.203126192,NA,4,NA,0,dgs,1,0,0
2525,9175,1006,1,30,29,15,0,1,0,3.234382153,NA,4,NA,0,dgs,1,1,0
2526,9176,1006,1,30,29,18,0,0,1,2.671879053,NA,4,NA,0,dgs,1,1,0
2527,9177,1006,1,30,29,21,0,0,1,1.671877146,NA,4,NA,0,dgs,1,0,0
2528,9178,1006,1,30,29,24,0,0,1,3.04688096,NA,4,NA,0,dgs,1,0,0
2529,9179,1006,1,30,29,27,0,0,1,2.296877861,NA,4,NA,0,dgs,1,0,0
2530,9180,1006,1,30,29,30,0,0,1,3.250002861,NA,4,NA,0,dgs,1,0,0
2501,9151,1006,1,30,56,3,0,1,0,25.59378695,NA,4,NA,0,dgs,1,0,0
2502,9152,1006,1,30,56,6,0,1,0,7.171885014,NA,4,NA,0,dgs,1,0,0
