Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
3087	8	40	-3	-30	0	56	0	4	34	1	1
3087	8	41	-30	-30	0	29	1	5	34	1	1
3087	8	42	-27	-30	0	29	1	5	34	1	1
3087	8	43	-24	-30	0	29	1	5	34	1	1
3087	8	44	-21	-30	0	29	1	5	34	1	1
3087	8	45	-18	-30	0	29	0	5	34	1	1
3087	8	46	-15	-30	0	29	0	5	34	1	1
3087	8	47	-12	-30	0	29	0	5	34	1	1
3087	8	48	-9	-30	0	29	0	5	34	1	1
3087	8	49	-6	-30	0	29	0	5	34	1	1
3087	8	50	-3	-30	0	29	0	5	34	1	1
3093	10	1	-30	-30	0	29	1	1	35	1	1
3093	10	2	-27	-30	0	29	1	1	35	1	1
3093	10	3	-24	-30	0	29	0	1	35	1	1
3093	10	4	-21	-30	0	29	0	1	35	1	1
3093	10	5	-18	-30	0	29	0	1	35	1	1
3093	10	6	-15	-30	0	29	0	1	35	1	1
3093	10	7	-12	-30	0	29	0	1	35	1	1
3093	10	8	-9	-30	0	29	0	1	35	1	1
3093	10	9	-6	-30	0	29	0	1	35	1	1
3093	10	10	-3	-30	0	29	0	1	35	1	1
3093	10	11	-30	-30	0	15	1	2	35	1	1
3093	10	12	-27	-30	0	15	0	2	35	1	1
3093	10	13	-24	-30	0	15	0	2	35	1	1
3093	10	14	-21	-30	0	15	0	2	35	1	1
3093	10	15	-18	-30	0	15	0	2	35	1	1
3093	10	16	-15	-30	0	15	0	2	35	1	1
3093	10	17	-12	-30	0	15	0	2	35	1	1
3093	10	18	-9	-30	0	15	0	2	35	1	1
3093	10	19	-6	-30	0	15	0	2	35	1	1
3093	10	20	-3	-30	0	15	0	2	35	1	1
3093	10	21	-30	-30	0	56	1	3	35	1	1
3093	10	22	-27	-30	0	56	1	3	35	1	1
3093	10	23	-24	-30	0	56	0	3	35	1	1
3093	10	24	-21	-30	0	56	0	3	35	1	1
